"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"	"Taxon_name"	"Rank"
19868	"1960084"	1	"1960084"	"2"	"1224"	"1236"	"135625"	"712"	"1960084"	NA	NA	"Rodentibacter"	"genus"
19882	"747"	1	"747"	"2"	"1224"	"1236"	"135625"	"712"	"745"	"747"	NA	"Pasteurella multocida"	"species"
19895	"155493"	1	"155493"	"2"	"1224"	"1236"	"135625"	"712"	"155493"	NA	NA	"Gallibacterium"	"genus"
19898	"256730"	1	"256730"	"2"	"1224"	"1236"	"135625"	"712"	"256730"	NA	NA	"Volucribacter"	"genus"
19899	"292486"	1	"292486"	"2"	"1224"	"1236"	"135625"	"712"	"292486"	NA	NA	"Avibacterium"	"genus"
19910	"1855419"	1	"1855419"	"2"	"1224"	"1236"	"135625"	"712"	"1855419"	NA	NA	"Ursidibacter"	"genus"
19916	"2094023"	1	"2094023"	"2"	"1224"	"1236"	"135625"	"712"	"2094023"	NA	NA	"Glaesserella"	"genus"
19936	"718"	1	"718"	"2"	"1224"	"1236"	"135625"	"712"	"713"	"718"	NA	"Actinobacillus equuli"	"species"
19939	"75984"	1	"75984"	"2"	"1224"	"1236"	"135625"	"712"	"75984"	NA	NA	"Mannheimia"	"genus"
19942	"111844"	1	"111844"	"2"	"1224"	"1236"	"135625"	"712"	"75984"	"111844"	NA	"Mannheimia pernigra"	"species"
19953	"109471"	1	"109471"	"2"	"1224"	"1236"	"135625"	"712"	"109471"	NA	NA	"Bisgaardia"	"genus"
19958	"2820724"	1	"2820724"	"2"	"1224"	"1236"	"135625"	"712"	"2820724"	NA	NA	"Spirabiliibacterium"	"genus"
19961	"2873895"	2	"2873895+2873964"	"2"	"1224"	"1236"	"135625"	"2873895"	NA	NA	NA	"Psittacicellaceae"	"family"
19961	"2873964"	2	"2873895+2873964"	"2"	"1224"	"1236"	"135625"	"2873895"	"2873964"	NA	NA	"Psittacicella"	"genus"
19963	"1240482"	3	"1240482+1240483+1193503"	"2"	"1224"	"1236"	"1240482"	NA	NA	NA	NA	"Orbales"	"order"
19963	"1240483"	3	"1240482+1240483+1193503"	"2"	"1224"	"1236"	"1240482"	"1240483"	NA	NA	NA	"Orbaceae"	"family"
19963	"1193503"	3	"1240482+1240483+1193503"	"2"	"1224"	"1236"	"1240482"	"1240483"	"1193503"	NA	NA	"Gilliamella"	"genus"
19967	"1335631"	1	"1335631"	"2"	"1224"	"1236"	"1240482"	"1240483"	"1335631"	NA	NA	"Frischella"	"genus"
19968	"743714"	1	"743714"	"2"	"1224"	"1236"	"1240482"	"1240483"	"743714"	NA	NA	"Orbus"	"genus"
19973	"1771359"	1	"1771359"	"2"	"1224"	"1236"	"91347"	"1771359"	NA	NA	NA	"Thorselliaceae"	"family"
19974	"336803"	1	"336803"	"2"	"1224"	"1236"	"91347"	"1771359"	"336803"	NA	NA	"Thorsellia"	"genus"
19976	"637"	1	"637"	"2"	"1224"	"1236"	"91347"	"1903414"	"637"	NA	NA	"Arsenophonus"	"genus"
19978	"626"	1	"626"	"2"	"1224"	"1236"	"91347"	"1903414"	"626"	NA	NA	"Xenorhabdus"	"genus"
19988	"29487"	1	"29487"	"2"	"1224"	"1236"	"91347"	"1903414"	"29487"	NA	NA	"Photorhabdus"	"genus"
19995	"2218628"	1	"2218628"	"2"	"1224"	"1236"	"91347"	"1903414"	"29487"	"2218628"	NA	"Photorhabdus laumondii"	"species"
19999	"230088"	1	"230088"	"2"	"1224"	"1236"	"91347"	"1903414"	"29487"	"230088"	NA	"Photorhabdus kayaii"	"species"
20003	"171438"	1	"171438"	"2"	"1224"	"1236"	"91347"	"1903414"	"29487"	"171438"	NA	"Photorhabdus akhurstii"	"species"
20009	"286156"	1	"286156"	"2"	"1224"	"1236"	"91347"	"1903414"	"29487"	"286156"	NA	"Photorhabdus australis"	"species"
20010	"880156"	1	"880156"	"2"	"1224"	"1236"	"91347"	"1903414"	"29487"	"880156"	NA	"Photorhabdus heterorhabditis"	"species"
20024	"40576"	1	"40576"	"2"	"1224"	"1236"	"91347"	"1903414"	"626"	"40576"	NA	"Xenorhabdus bovienii"	"species"
20032	"583"	1	"583"	"2"	"1224"	"1236"	"91347"	"1903414"	"583"	NA	NA	"Proteus"	"genus"
20041	"1574161"	1	"1574161"	"2"	"1224"	"1236"	"91347"	"1903414"	"583"	"1574161"	NA	"Proteus terrae"	"species"
20044	"586"	1	"586"	"2"	"1224"	"1236"	"91347"	"1903414"	"586"	NA	NA	"Providencia"	"genus"
20054	"581"	1	"581"	"2"	"1224"	"1236"	"91347"	"1903414"	"581"	NA	NA	"Morganella"	"genus"
20055	"582"	1	"582"	"2"	"1224"	"1236"	"91347"	"1903414"	"581"	"582"	NA	"Morganella morganii"	"species"
