"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
12908	"2267"	2	"2266+2267"	"2157"	"28889"	"183924"	"2266"	"2267"	NA	NA	NA
12910	"164450"	1	"164450"	"2157"	"28889"	"183924"	"2266"	"2267"	"164450"	NA	NA
12913	"2270"	1	"2270"	"2157"	"28889"	"183924"	"2266"	"2267"	"2270"	NA	NA
12915	"2276"	1	"2276"	"2157"	"28889"	"183924"	"2266"	"2267"	"2276"	NA	NA
12922	"2"	1	"2"	"2"	NA	NA	NA	NA	NA	NA	NA
12927	"508458"	3	"508458+649775+649776"	"2"	"508458"	NA	NA	NA	NA	NA	NA
12927	"649775"	3	"508458+649775+649776"	"2"	"508458"	"649775"	NA	NA	NA	NA	NA
12927	"649776"	3	"508458+649775+649776"	"2"	"508458"	"649775"	"649776"	NA	NA	NA	NA
12928	"3029086"	2	"3029086+49894"	"2"	"508458"	"649775"	"649776"	"3029086"	NA	NA	NA
12928	"49894"	2	"3029086+49894"	"2"	"508458"	"649775"	"649776"	"3029086"	"49894"	NA	NA
12933	"3029087"	1	"3029087"	"2"	"508458"	"649775"	"649776"	"3029087"	NA	NA	NA
12934	"81466"	1	"81466"	"2"	"508458"	"649775"	"649776"	"3029087"	"81466"	NA	NA
12935	"3029088"	1	"3029088"	"2"	"508458"	"649775"	"649776"	"3029088"	NA	NA	NA
12936	"47054"	1	"47054"	"2"	"508458"	"649775"	"649776"	"3029088"	"47054"	NA	NA
12938	"638847"	1	"638847"	"2"	"508458"	"649775"	"649776"	"3029088"	"638847"	NA	NA
12941	"649777"	1	"649777"	"2"	"508458"	"649775"	"649776"	"649777"	NA	NA	NA
12943	"81461"	1	"81461"	"2"	"508458"	"649775"	"649776"	"649777"	"81461"	NA	NA
12945	"508459"	1	"508459"	"2"	"508458"	"649775"	"649776"	"649777"	"508459"	NA	NA
12949	"68297"	5	"68297+203486+203487+203488+13"	"2"	"68297"	NA	NA	NA	NA	NA	NA
12949	"203486"	5	"68297+203486+203487+203488+13"	"2"	"68297"	"203486"	NA	NA	NA	NA	NA
12949	"203487"	5	"68297+203486+203487+203488+13"	"2"	"68297"	"203486"	"203487"	NA	NA	NA	NA
12949	"203488"	5	"68297+203486+203487+203488+13"	"2"	"68297"	"203486"	"203487"	"203488"	NA	NA	NA
12949	"13"	5	"68297+203486+203487+203488+13"	"2"	"68297"	"203486"	"203487"	"203488"	"13"	NA	NA
12954	"2498705"	5	"2498705+2498706+2498707+2498708+2498709"	"2"	"2498705"	NA	NA	NA	NA	NA	NA
12954	"2498706"	5	"2498705+2498706+2498707+2498708+2498709"	"2"	"2498705"	"2498706"	NA	NA	NA	NA	NA
12954	"2498707"	5	"2498705+2498706+2498707+2498708+2498709"	"2"	"2498705"	"2498706"	"2498707"	NA	NA	NA	NA
